Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
s3_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	25839836.0	pass	fail	pass	50.0	35.0783510794	s3_1.fq.gz	warn	pass
s3_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	25839836.0	pass	fail	pass	50.0	35.7598474371	s3_2.fq.gz	pass	pass
s4_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	23310372.0	pass	fail	pass	50.0	34.660386247	s4_1.fq.gz	warn	pass
s4_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	23310372.0	pass	fail	pass	50.0	35.2069468966	s4_2.fq.gz	pass	pass
s5_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	19434399.0	pass	fail	pass	51.0	36.786993183	s5_1.fq.gz	warn	pass
s5_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	19434399.0	pass	fail	pass	51.0	37.3063536079	s5_2.fq.gz	pass	pass
s6_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	21111296.0	pass	fail	pass	51.0	36.5975591758	s6_1.fq.gz	warn	pass
s6_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	21111296.0	pass	fail	pass	51.0	37.4647834925	s6_2.fq.gz	pass	pass
s7_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	19910772.0	pass	fail	pass	51.0	34.9137050407	s7_1.fq.gz	warn	pass
s7_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	19910772.0	pass	fail	pass	51.0	35.7003661516	s7_2.fq.gz	pass	pass
s8_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	22607910.0	pass	fail	pass	50.0	33.5078127401	s8_1.fq.gz	warn	pass
s8_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	22607910.0	pass	fail	pass	50.0	34.123608766	s8_2.fq.gz	pass	pass
s9_1	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	23862991.0	pass	fail	pass	51.0	31.8611521418	s9_1.fq.gz	warn	pass
s9_2	pass	0.0	fail	150.0	Sanger / Illumina 1.9	pass	pass	150.0	Conventional base calls	pass	pass	23862991.0	pass	fail	pass	51.0	32.8583938337	s9_2.fq.gz	pass	pass
